Title,Location,Type,Price,Area,Bedrooms,Bathrooms,Purpose,Date Posted,Built Year,Kitchens,Store Rooms,Servant Quarters,Furnished,Gym,Study Room,Drawing Room,Dining Room,Lawn/Garden,Swimming Pool,Electricity Backup,Lounge/Sitting Room,Link
ACTUALLY 25 MARLA DOUBLE UNIT LUXURIOUS & GRACEFUL HOUSE AVAILABLE FOR SALE,"DHA Phase 6 - Block F, DHA Phase 6, DHA Defence, Lahore, Punjab",House,8.15 Crore,1 Kanal,6,7,For Sale,2025-07-27,2024.0,3,2,2,True,True,True,True,True,True,True,True,True,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_f_actually_25_marla_double_unit_luxurious_graceful_house_available_for_sale-52703798-1615-1.html
3 Years Installment Plan Luxury Brand New House In Park View City Lahore,"Park View City, Lahore, Punjab",House,1.5 Crore,5 Marla,4,5,For Sale,2025-07-25,2012.0,2,1,3,True,False,False,True,True,True,False,True,True,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_brand_new_house_in_park_view_city_lahore-52597900-1466-1.html
5 Marla Luxury House In Rose Block Of Park-View City Is Up For SALE At Best Price,"Park View City - Rose Block, Park View City, Lahore, Punjab",House,2.4 Crore,5 Marla,4,4,For Sale,2025-07-25,2025.0,2,1,1,True,True,True,True,True,True,True,True,True,https://www.zameen.com/Property/park_view_city_park_view_city_-_rose_block_5_marla_luxury_house_in_rose_block_of_park-view_city_is_up_for_sale_at_best_price-52872377-13322-1.html
Full Basement 1 kanal Brand New Luxury House Nearby DHA Raya in S Block Phase 7 DHA Lahore,"DHA Phase 7 - Block S, DHA Phase 7, DHA Defence, Lahore, Punjab",House,7.5 Crore,1 Kanal,5,6,For Sale,2025-07-25,2024.0,2,1,1,False,True,True,True,True,True,True,True,True,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_s_full_basement_1_kanal_brand_new_luxury_house_nearby_dha_raya_in_s_block_phase_7_dha_lahore-52005951-1626-1.html
1 Kanal Dream Home With Private Pool In DHA Phase 6 A True Showstopper,"DHA Phase 6, DHA Defence, Lahore, Punjab",House,6.95 Crore,1 Kanal,6,7,For Sale,2025-07-25,2024.0,0,0,0,True,True,True,True,True,True,True,True,True,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_dream_home_with_private_pool_in_dha_phase_6_a_true_showstopper-52744510-1448-1.html
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,"Park View City, Lahore, Punjab",House,1.5 Crore,5 Marla,4,5,For Sale,2025-07-27,,2,0,0,False,False,False,True,True,False,False,False,False,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_5_marla_brand_new_house_for_sale_in_park_view_city-52867132-1466-1.html
Ultra Modern - 10 Marla Brand New House - Prime Location - Valencia Town,"Valencia Housing Society, Lahore, Punjab",House,4.95 Crore,10 Marla,5,6,For Sale,2025-07-25,2025.0,3,0,2,True,False,False,True,True,True,False,True,False,https://www.zameen.com/Property/lahore_valencia_housing_society_ultra_modern_-_10_marla_brand_new_house_-_prime_location_-_valencia_town-52800350-373-1.html
01 KANAL MODREN HOUSE ON 150 FEET MAIN ROAD DHA PHASE 6,"DHA Phase 6, DHA Defence, Lahore, Punjab",House,14 Crore,1 Kanal,6,6,For Sale,2025-07-25,2024.0,2,0,0,True,True,True,True,True,True,True,True,True,https://www.zameen.com/Property/dha_defence_dha_phase_6_01_kanal_modren_house_on_150_feet_main_road_dha_phase_6-50252020-1448-1.html
Prime Location 2 Kanal House For sale In DHA Phase 2 - Block R Lahore,"DHA Phase 2 - Block R, DHA Phase 2, DHA Defence, Lahore, Punjab",House,16.5 Crore,2 Kanal,6,6,For Sale,2025-07-25,,2,0,2,False,False,False,True,True,False,False,False,False,https://www.zameen.com/Property/dha_phase_2_dha_phase_2_-_block_r_prime_location_2_kanal_house_for_sale_in_dha_phase_2_-_block_r_lahore-52893422-1571-1.html
Prime Location House Is Available For sale In Eden Boulevard Housing Scheme,"Eden Boulevard Housing Scheme, College Road, Lahore, Punjab",House,2 Crore,5 Marla,3,4,For Sale,2025-07-25,,2,0,0,False,False,False,True,True,False,False,False,False,https://www.zameen.com/Property/college_road_eden_boulevard_housing_scheme_prime_location_house_is_available_for_sale_in_eden_boulevard_housing_scheme-52887623-12447-1.html
5 Marla Beautiful House For Sale In Eastern Housing Society Lahore Near Head Office,"Eastern Housing Lahore, Wagha Town, Lahore, Punjab",House,2.1 Crore,5 Marla,4,5,For Sale,2025-07-25,2023.0,2,1,0,False,False,False,False,False,False,False,False,False,https://www.zameen.com/Property/wagha_town_eastern_housing_lahore_5_marla_beautiful_house_for_sale_in_eastern_housing_society_lahore_near_head_office-52894312-11486-1.html
